Friday Checklist V3 - F22 P03 W4 - 1 Person does the upload, another opens the phone queue, another actions lost cards
Aging|Statistical Gathering|Gather all the stats from last week and fill in the tracker.||2~Working it|Eric.Zueff|
Aging|Orbit Zero Dolla Holla!|Use our new Orbit Excel tech, look for zero dollar invoices & adjustments, reeducate users where required.||1~Working it|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>There are two. Will send emails on Monday. One will likely need to be French</p>
Gift Cards|First Thing, Lost Cards|Action lost cards by filling out the tracker, contacting UMs, transferring balances, and contacting customers||0~Complete|Carol.Elliott|<p><span style="color:#404040;font-size:0.75em;"><i>Carol.Elliott (12/16/2022)</i></span><br>4 french / 1 english</p>
Uploads|CIMS Upload (R55APTRN2) (Dated CURRENT Friday)(JDE Log for Thurs and Fri)|Have a second set of eye check the GL date before upload, confirm post|https://web.microsoftstream.com/video/108b1694-9396-41e1-8fea-5ccbe820418c|0~Complete|Chris.Anzuluni|
Uploads|CRIS Review Fix JDE|Resolve any penny rounding issues.||0~Complete|Chris.Anzuluni|
Uploads|ORBIT AR Invoices|Process before running the receipts||0~Complete|Chris.Anzuluni|
Uploads|ORBIT Receipts Upload (DO NOT ADD GL DATES)|||0~Complete|Chris.Anzuluni|
Uploads|Batch post to JDE|This task is done Eric or Nicki|https://web.microsoftstream.com/video/ace495a0-3c49-4f21-8e27-278fe7ca8f9c?channelId=e4fa49e7-ab8d-429f-9a5e-5d97d047fd42|0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/16/2022)</i></span><br>Post done, report emailed to Chris, the time is 7:41 AM</p>
Uploads|CIMS Adjustment Report|Nicki or Eric can run the report now|https://web.microsoftstream.com/video/540fd00d-684c-49ac-9633-d88b73114eff |0~Complete|Chris.Anzuluni|
Uploads|CIMS Upload E-mail|Send email to Eric, Brenda Hawkins, And Lori Lucrezi||0~Complete|Chris.Anzuluni|
Uploads|Save ORBIT Exception Report|Save PDF of Orbit Exception Report|https://web.microsoftstream.com/video/e827bfc5-b39e-44d7-8358-41d64d24f0a2|0~Complete|Berkeley.Chan|<p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/16/2022)</i></span><br>Saved</p>
Email|Check Orbit Ice Scheduler Email|You should find an email in the app support box that Ice was succesful, if not we need IT help right now to get that job run.|https://web.microsoftstream.com/video/cb1d8cee-41ea-4042-a6a7-158e00adeb9a|0~Complete|Berkeley.Chan|<p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/16/2022)</i></span><br>Ice was good</p>
Email|Checkpoint  Morning|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/16/2022)</i></span><br>36 App & 33 Zip @ 7:04 AM</p>
Email|Checkpoint Noon|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|0~Complete|Berkeley.Chan|<p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/16/2022)</i></span><br>30 App & 18 Zip @ 12:50 PM</p>
Email|Checkpoint  Afternoon|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/16/2022)</i></span><br>17 App & 22 Zip @ 5PM</p>
iTrade & Tools|Check for SFTP connectivity|Use the iTrade account and open a connection with Filezilla to the file drop location. If you can't let IT know right away. shenning@compass-na.com; Allan.Dittmer@compass-canada.com; Jason.Lucier@compass-canada.com This should be done first thing in the morning so we can ensure we get our files.||0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/16/2022)</i></span><br>Connection is good.</p>
