Monday Checklist V3 - F22 P03 W4 - 1 Person does the upload, another opens the phone queue, another starts lost cards
Aging|Statistical Gathering|Gather all the stats from last week and fill in the tracker.||3~Working it|Eric.Zueff|
Aging|Orbit Zero Dolla Holla!|Use our new Orbit Excel tech, look for zero dollar invoices & adjustments, reeducate users where required.||2~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>There are two. Will send emails on Monday. One will likely need to be French</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>Emailed unit 29554 and 47407</p>
Gift Cards|First Thing, Lost Cards|Action lost cards by filling out the tracker, contacting UMs, transferring balances, and contacting customers||0~Complete|Carol.Elliott|<p><span style="color:#404040;font-size:0.75em;"><i>Carol.Elliott (12/19/2022)</i></span><br>8 french / 3 english</p>
Uploads|CIMS Upload (R55APTRN2) Dated CURRENT Friday **UNLESS PERIOD END; (Dated PREVIOUS Friday)**|Have a second set of eye check the GL date before upload, confirm post. Auto weekend job is run by OWREPORTS2 so check your account and that account for kickouts.|https://web.microsoftstream.com/video/108b1694-9396-41e1-8fea-5ccbe820418c|0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/19/2022)</i></span><br>APDOWNLOAD_121722053516;APDOWNLOAD_121822053709;APDOWNLOAD_121922053548; 8 Kickouts</p>
Uploads|CIMS Saturday and Monday Uploads| Run processor to upload data file under OWREPORTS2 username||0~Complete|Vivian.Du|
Uploads|**Period End Only - Batch Journal Entry CIMS (R55GLTRN) (Dated Previous Friday)**|Have a second set of eye check the GL date before upload, confirm post. Run processor for Batch Journal Entry - Final found when list is expanded||0~NA|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/19/2022)</i></span><br>Not PE</p>
Uploads|CRIS Review Fix JDE|Resolve any penny rounding issues.||0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/19/2022)</i></span><br>No CR Kickout</p>
Uploads|ORBIT AR Invoices|Process before running the receipts||0~Complete|Vivian.Du|
Uploads|ORBIT Receipts Upload (DO NOT ADD GL DATES)|||0~Complete|Vivian.Du|
Uploads|Batch post to JDE|This task is done Eric or Nicki|https://web.microsoftstream.com/video/ace495a0-3c49-4f21-8e27-278fe7ca8f9c?channelId=e4fa49e7-ab8d-429f-9a5e-5d97d047fd42|0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>Batches posted about 9sih. Report emailed to Vivian & Parth for review</p>
Uploads|CIMS Adjustment Report|Nicki or Eric can run the report now|https://web.microsoftstream.com/video/540fd00d-684c-49ac-9633-d88b73114eff|0~Complete|Vivian.Du|
Uploads|CIMS Upload E-mail|Send email to Eric, Brenda Hawkins, And Lori Lucrezi||0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/19/2022)</i></span><br>Sent @ 8:37AM</p>
Uploads|Exception Report|Save file and fill out the tracker located at Accounting Drive:\Orbit\Orbit Exception Report analysis dated for current date.|https://web.microsoftstream.com/video/e827bfc5-b39e-44d7-8358-41d64d24f0a2|0~Complete|Berkeley.Chan|<p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/19/2022)</i></span><br>Saved</p>
