Friday Checklist V3 - No Fiscal Date Found :( - 1 Person does the upload, another opens the phone queue, another actions lost cards
Aging|Reconciliation Company 100– Tuesday/Wednesday|Identify and analyze variances between Givex and JDE at company 100 using the reconciliation file created and the Zipthru report from Debit Terminal Support.||2~Complete|Chris.Anzuluni|
Gift Cards|First Thing, Lost Cards|Action lost cards by filling out the tracker, contacting UMs, transferring balances, and contacting customers||2~Complete|Ellen.Cavell|<p><span style="color:#404040;font-size:0.75em;"><i>DevBox (12/28/2022)</i></span><br>3</p><p><span style="color:#404040;font-size:0.75em;"><i>Ellen.Cavell (12/29/2022)</i></span><br>1 this morning</p><p><span style="color:#404040;font-size:0.75em;"><i>Ellen.Cavell (12/30/2022)</i></span><br>none this morning</p>
Uploads|CIMS Upload (R55APTRN2) (Dated CURRENT Friday)(JDE Log for Thurs and Fri)|Have a second set of eye check the GL date before upload, confirm post|https://web.microsoftstream.com/video/108b1694-9396-41e1-8fea-5ccbe820418c|0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Parth.Padhya (12/30/2022)</i></span><br>3 penny rounding and 1  dupicate invoice deleted</p>
Uploads|CRIS Review Fix JDE|Resolve any penny rounding issues.||0~Complete|Parth.Padhya|
Uploads|ORBIT AR Invoices|Process before running the receipts||0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Vivian confirms done.</p>
Uploads|ORBIT Receipts Upload (DO NOT ADD GL DATES)|||0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Vivian confirms done.</p>
Uploads|Batch post to JDE|This task is done Eric or Nicki|https://web.microsoftstream.com/video/ace495a0-3c49-4f21-8e27-278fe7ca8f9c?channelId=e4fa49e7-ab8d-429f-9a5e-5d97d047fd42|0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Batch was posted but Hubble is down so no report today.</p>
Uploads|CIMS Adjustment Report|Nicki or Eric can run the report now|https://web.microsoftstream.com/video/540fd00d-684c-49ac-9633-d88b73114eff |0~NA|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Hubble is down.</p>
Uploads|CIMS Upload E-mail|Send email to Eric, Brenda Hawkins, And Lori Lucrezi||0~NA|Eric.Zueff|
Uploads|Save ORBIT Exception Report|Save PDF of Orbit Exception Report|https://web.microsoftstream.com/video/e827bfc5-b39e-44d7-8358-41d64d24f0a2|0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/30/2022)</i></span><br>Saved</p>
Email|Check Orbit Ice Scheduler Email|You should find an email in the app support box that Ice was succesful, if not we need IT help right now to get that job run.|https://web.microsoftstream.com/video/cb1d8cee-41ea-4042-a6a7-158e00adeb9a|0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Ice was good.</p>
