,,,,,Submission Delinquency Report
,Run Date:,,2023-01-03
,For:,,Year: 22, Period: 3, Week: 5
,Filter For all units

Sector,Unit #,Fiscal Year,Period,Week,UserName - Purchases,Date Purchases Submitted,Username - Sales,Date Sales Submitted,Data Entered (Y/N), Forced Submission
02,1,22,3,5,ORBIT_System_User,1/3/2023 1:50:44 AM,,1/1/1900 12:00:00 AM,N,Y
02,7,22,3,5,ORBIT_System_User,1/3/2023 1:50:45 AM,ORBIT_System_User,1/3/2023 1:50:45 AM,N,Y
02,9,22,3,5,ORBIT_System_User,1/3/2023 1:50:47 AM,ORBIT_System_User,1/3/2023 1:50:46 AM,N,Y
02,11,22,3,5,ORBIT_System_User,1/3/2023 1:50:48 AM,ORBIT_System_User,1/3/2023 1:50:47 AM,N,Y
02,14,22,3,5,ORBIT_System_User,1/3/2023 1:50:49 AM,ORBIT_System_User,1/3/2023 1:50:49 AM,N,Y
11,41,22,3,5,ORBIT_System_User,1/3/2023 1:50:55 AM,ORBIT_System_User,1/3/2023 1:50:55 AM,N,Y
11,42,22,3,5,pascal.queron,12/26/2022 8:54:43 AM,pascal.queron,12/26/2022 8:54:54 AM,N,N
03,63,22,3,5,ORBIT_System_User,1/3/2023 2:20:25 AM,,1/1/1900 12:00:00 AM,N,Y
06,81,22,3,5,ORBIT_System_User,1/3/2023 1:51:03 AM,,1/1/1900 12:00:00 AM,N,Y
06,82,22,3,5,ORBIT_System_User,1/3/2023 1:51:05 AM,ORBIT_System_User,1/3/2023 1:51:04 AM,N,Y
06,85,22,3,5,ORBIT_System_User,1/3/2023 1:51:06 AM,,1/1/1900 12:00:00 AM,N,Y
06,86,22,3,5,ORBIT_System_User,1/3/2023 1:51:06 AM,ORBIT_System_User,1/3/2023 1:51:06 AM,N,Y
01,101,22,3,5,ORBIT_System_User,1/3/2023 1:51:11 AM,ORBIT_System_User,1/3/2023 1:51:10 AM,N,Y
03,105,22,3,5,ORBIT_System_User,1/3/2023 2:31:34 AM,,1/1/1900 12:00:00 AM,N,Y
02,109,22,3,5,ORBIT_System_User,1/3/2023 12:05:04 AM,,1/1/1900 12:00:00 AM,N,Y
01,116,22,3,5,ORBIT_System_User,1/3/2023 2:32:43 AM,,1/1/1900 12:00:00 AM,N,Y
01,117,22,3,5,ORBIT_System_User,1/3/2023 2:32:44 AM,ORBIT_System_User,1/3/2023 2:32:44 AM,N,Y
01,118,22,3,5,ORBIT_System_User,1/3/2023 2:32:46 AM,ORBIT_System_User,1/3/2023 2:32:46 AM,N,Y
01,124,22,3,5,ORBIT_System_User,1/3/2023 12:11:09 AM,,1/1/1900 12:00:00 AM,N,Y
02,131,22,3,5,ORBIT_System_User,1/3/2023 12:11:10 AM,,1/1/1900 12:00:00 AM,N,Y
02,141,22,3,5,ORBIT_System_User,1/3/2023 12:17:24 AM,ORBIT_System_User,1/3/2023 12:17:24 AM,N,Y
01,200,22,3,5,ORBIT_System_User,1/3/2023 1:51:16 AM,ORBIT_System_User,1/3/2023 1:51:15 AM,N,Y
02,217,22,3,5,ORBIT_System_User,1/3/2023 12:17:05 AM,ORBIT_System_User,1/3/2023 12:17:05 AM,N,Y
01,218,22,3,5,ORBIT_System_User,1/3/2023 12:13:09 AM,ORBIT_System_User,1/3/2023 12:13:09 AM,N,Y
01,219,22,3,5,ORBIT_System_User,1/3/2023 12:13:13 AM,ORBIT_System_User,1/3/2023 12:13:13 AM,N,Y
02,227,22,3,5,ORBIT_System_User,1/3/2023 12:18:24 AM,,1/1/1900 12:00:00 AM,N,Y
03,327,22,3,5,tara.osborne,1/2/2023 11:29:27 AM,tara.osborne,1/2/2023 11:29:13 AM,N,N
03,333,22,3,5,brian.mcknight,12/31/2022 12:44:29 PM,,1/1/1900 12:00:00 AM,N,N
03,335,22,3,5,ORBIT_System_User,1/3/2023 12:12:03 AM,,1/1/1900 12:00:00 AM,N,Y
03,365,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
11,401,22,3,5,ORBIT_System_User,1/3/2023 12:11:26 AM,,1/1/1900 12:00:00 AM,N,Y
11,425,22,3,5,sandra.soucy,12/23/2022 8:12:23 AM,sandra.soucy,12/23/2022 8:12:31 AM,N,N
11,427,22,3,5,raymond.boucher,1/2/2023 3:14:06 PM,raymond.boucher,1/2/2023 3:14:18 PM,N,N
11,429,22,3,5,myriam.nault,1/2/2023 7:48:40 PM,,1/1/1900 12:00:00 AM,N,N
11,443,22,3,5,ORBIT_System_User,1/3/2023 1:51:24 AM,ORBIT_System_User,1/3/2023 1:51:24 AM,N,Y
17,502,22,3,5,ORBIT_System_User,1/3/2023 12:18:24 AM,,1/1/1900 12:00:00 AM,N,Y
27,512,22,3,5,ORBIT_System_User,1/3/2023 2:19:06 AM,,1/1/1900 12:00:00 AM,N,Y
27,514,22,3,5,ORBIT_System_User,1/3/2023 2:19:07 AM,,1/1/1900 12:00:00 AM,N,Y
27,516,22,3,5,ORBIT_System_User,1/3/2023 2:19:08 AM,,1/1/1900 12:00:00 AM,N,Y
27,518,22,3,5,ORBIT_System_User,1/3/2023 2:19:08 AM,,1/1/1900 12:00:00 AM,N,Y
27,520,22,3,5,ORBIT_System_User,1/3/2023 2:19:09 AM,,1/1/1900 12:00:00 AM,N,Y
27,522,22,3,5,ORBIT_System_User,1/3/2023 2:27:26 AM,,1/1/1900 12:00:00 AM,N,Y
27,523,22,3,5,ORBIT_System_User,1/3/2023 2:27:26 AM,,1/1/1900 12:00:00 AM,N,Y
41,525,22,3,5,ORBIT_System_User,1/3/2023 2:30:44 AM,,1/1/1900 12:00:00 AM,N,Y
27,527,22,3,5,ORBIT_System_User,1/3/2023 2:32:15 AM,,1/1/1900 12:00:00 AM,N,Y
06,601,22,3,5,johanne.dube,12/29/2022 8:24:04 AM,,1/1/1900 12:00:00 AM,N,N
06,612,22,3,5,ORBIT_System_User,1/3/2023 2:19:22 AM,,1/1/1900 12:00:00 AM,N,Y
06,615,22,3,5,ORBIT_System_User,1/3/2023 1:51:30 AM,ORBIT_System_User,1/3/2023 1:51:30 AM,N,Y
05,640,22,3,5,ORBIT_System_User,1/3/2023 2:32:54 AM,,1/1/1900 12:00:00 AM,N,Y
16,716,22,3,5,ORBIT_System_User,1/3/2023 12:15:15 AM,,1/1/1900 12:00:00 AM,N,Y
16,750,22,3,5,ORBIT_System_User,1/3/2023 1:51:32 AM,,1/1/1900 12:00:00 AM,N,Y
17,802,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
27,804,22,3,5,ORBIT_System_User,1/3/2023 1:51:33 AM,,1/1/1900 12:00:00 AM,N,Y
17,806,22,3,5,leslie.candow,12/30/2022 12:18:00 PM,leslie.candow,12/30/2022 12:18:09 PM,N,N
17,807,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
22,809,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
17,811,22,3,5,ORBIT_System_User,1/3/2023 1:51:37 AM,,1/1/1900 12:00:00 AM,N,Y
17,813,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
27,814,22,3,5,ORBIT_System_User,1/3/2023 1:51:39 AM,,1/1/1900 12:00:00 AM,N,Y
17,815,22,3,5,ORBIT_System_User,1/3/2023 2:29:43 AM,,1/1/1900 12:00:00 AM,N,Y
27,821,22,3,5,ORBIT_System_User,1/3/2023 1:51:40 AM,,1/1/1900 12:00:00 AM,N,Y
27,823,22,3,5,ORBIT_System_User,1/3/2023 1:51:41 AM,,1/1/1900 12:00:00 AM,N,Y
27,825,22,3,5,ORBIT_System_User,1/3/2023 2:22:08 AM,ORBIT_System_User,1/3/2023 2:22:08 AM,N,Y
27,826,22,3,5,ORBIT_System_User,1/3/2023 2:29:56 AM,,1/1/1900 12:00:00 AM,N,Y
27,827,22,3,5,ORBIT_System_User,1/3/2023 2:30:23 AM,,1/1/1900 12:00:00 AM,N,Y
17,829,22,3,5,ewelina.gouveia,1/2/2023 11:42:44 PM,ewelina.gouveia,1/2/2023 11:42:54 PM,N,N
27,830,22,3,5,ORBIT_System_User,1/3/2023 12:05:14 AM,,1/1/1900 12:00:00 AM,N,Y
27,836,22,3,5,ORBIT_System_User,1/3/2023 12:05:51 AM,,1/1/1900 12:00:00 AM,N,Y
27,837,22,3,5,ORBIT_System_User,1/3/2023 12:06:29 AM,,1/1/1900 12:00:00 AM,N,Y
27,840,22,3,5,ORBIT_System_User,1/3/2023 12:06:43 AM,,1/1/1900 12:00:00 AM,N,Y
