Business Unit,Description,L D,Co,BU Ty,Subledger Inactive,M C,Sector,Sub-Segment,Province,District,WCB Rates,Promo Expense,Category Code 07,Closed Business,IMS Fee,Admin Fee,Summary Reporting,Statement Formats,Regional VP,Fringe Calc,JV Units,Mgmt Fee,Bank Charges,Regional Director,Smallwares R&M,President,Multi Group,Group,Contract Terms,Cat Code 24,Fringe Caps,IFRS15,Commissions,COVID-19 Status,DM Assistants,Census Metro Area CMA,Online Reporting Access 1,Online Reporting Access 2,Online Reporting Access 3,Insurance,BE - Digital Hospitality,Finance Charge Exceptions,Business Line,BE - Like for Like,Rebate passed to Client,Acquisitions,Key Client Account,MAP1 Royalty Brands,Special Services,BE Online Reporting Access 4,US Data - Office Type,US Data - Compass Sector,BE - Top Retail Accounts,Concur BU,HFM Reporting,CAT 50,P E,Tax Rate Area,Address Number,Address Number1,Address Number2,Address Number3,Address Number4,Address Number5,Address Number6,Related BU,Related BU Description,Adj Entry,Adjustment Entry Description,Project Number,Project Description
"           1",Model Financial Business Unit,9,00001,MD," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," "," "," ",,,,,,,,"           1",Model Financial Business Unit,0,Not Restricted,"            ",
"          BI",Eurest Model Unit,9,00001,BI," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",BI," "," "," ",,,,,,,,"          BI",Eurest Model Unit,0,Not Restricted,"            ",
"          CR",Crothall Model Unit,9,00001,HK," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",HK," "," "," ",,,,,,,,"          CR",Crothall Model Unit,0,Not Restricted,"            ",
"          CS",CCSSL Model Unit,9,00001,SS," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",SS," "," "," ",,,,,,,,"          CS",CCSSL Model Unit,0,Not Restricted,"            ",
"          CU",Chartwells - C&U Dining Model,9,00001,CU," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",CU," "," "," ",,,,,,,,"          CU",Chartwells - C&U Dining Model,0,Not Restricted,"            ",
"          DM",District Model Unit,9,00001,DS," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"          DM",District Model Unit,0,Not Restricted,"            ",
"          DP",Department Model,9,00001,DP," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DP," "," "," ",,,,,,,,"          DP",Department Model,0,Not Restricted,"            ",
"          ES",Eurest Services-Esso Model,9,00001,TR," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TR," "," "," ",,,,,,,,"          ES",Eurest Services-Esso Model,0,Not Restricted,"            ",
"          FC",Forecast Model Unit,9,00001," "," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",,,,,,,,"          FC",Forecast Model Unit,0,Not Restricted,"            ",
"          HC",Healthcare Segment Model,9,00001,HC," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",HC," "," "," ",,,,,,,,"          HC",Healthcare Segment Model,0,Not Restricted,"            ",
"          HS",Chartwells-School Dining Model,9,00001,HS," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",HS," "," "," ",,,,,,,,"          HS",Chartwells-School Dining Model,0,Not Restricted,"            ",
"          I1",Student Dining New Initiative,9,00100,DS," "," ",01,OH," ",I1," "," "," "," "," "," "," "," ",18," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"          I1",Student Dining New Initiative,0,Not Restricted,"            ",
"          I2",K-12 New Initiative Dist.,9,00100,DS," "," ",02,OH," ",I2," "," "," "," "," "," "," "," ",19," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"          I2",K-12 New Initiative Dist.,0,Not Restricted,"            ",
"          I3",Eurest New Initiative,9,00100,DS," "," ",03,OH," ",I3," "," "," "," "," "," "," "," ",98," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"          I3",Eurest New Initiative,0,Not Restricted,"            ",
"          OT",Other Segment Model,9,00001,OT," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",OT," "," "," ",,,,,,,,"          OT",Other Segment Model,0,Not Restricted,"            ",
"          QC",Quebec Units Model,9,00001,QC," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",QC," "," "," ",,,,,,,,"          QC",Quebec Units Model,0,Not Restricted,"            ",
"          RM",Remote Segment Model,9,00001,RM," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",RM," "," "," ",,,,,,,,"          RM",Remote Segment Model,0,Not Restricted,"            ",
"          RO",Regional Office Model,9,00001,RO," ",M," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",RO," "," "," ",,,,,,,,"          RO",Regional Office Model,0,Not Restricted,"            ",
