Task,Start Date Time,Minutes On Task,,,OLR,Projects
Tasks,2/22/2022 8:18,265.7,4.428333333,,,
OLR,2/22/2022 12:44,176.9,2.948333333,,1,2
Tasks,2/23/2022 7:03,96.28,1.604666667,,,
OLR,2/23/2022 8:39,278.52,4.642,,2,2.5
Tasks,2/24/2022 6:57,114.68,1.911333333,,,
OLR,2/24/2022 8:52,53.55,0.8925,,1,
Support,2/24/2022 9:46,343.72,5.728666667,,,
Tasks,2/25/2022 6:54,37.58,0.626333333,,,
Projects,2/25/2022 7:32,139.08,2.318,,,2.5
OLR,2/25/2022 9:51,229.08,3.818,,4,
Support,2/25/2022 13:40,114.03,1.9005,,,
