Task,Start Date Time,Minutes On Task,,,,,,,,,
Tasks,7/11/2022 7:02,9.85,,,,,,,,,
OLR,7/11/2022 7:12,17.25,,,,,,,,,
DTS,7/11/2022 7:30,3.03,,,,,,,,,
OLR,7/11/2022 7:33,98.03,,,,,,,,,
Projects,7/11/2022 9:11,31.5,,,,,,,,,
DTS,7/11/2022 7:30,349,,,,,,,,,
Tasks,7/12/2022 6:53,24.73,,,,,,,,,
DTS,7/12/2022 7:18,95.98,,,,,,,,,
OLR,7/12/2022 8:54,58.1,,,,,,,,,
DTS,7/12/2022  19:52:00 AM,318.03,,,,,,,,,
Tasks,7/13/2022 6:55,45.37,,,,,,,,,
OLR,7/13/2022 7:40,43.85,,,,,,,Row Labels,Sum of Minutes On Task,
Projects,7/13/2022 9:40,120,,,,,,,DTS,1565.01,26.0835
DTS,7/13/2022  15:30:00 PM,300.78,,,,,,,OLR,217.23,3.6205
Tasks,7/14/2022 6:52,80.22,,,,,,,Projects,278.37,4.6395
DTS,7/14/2022 8:12,27.8,,,,,,,Support,83.28,
Support,7/14/2022 8:40,83.28,,,,,,,Tasks,168.32,
DTS,7/14/2022 10:03,270.78,,,,,,,Grand Total,2312.21,
Projects,7/14/2022 11:14,47.05,,,,,,,,,
Tasks,7/15/2022 7:05,8.15,,,,,,,,,
DTS,7/15/2022 7:13,113.98,,,,,,,,,
Projects,7/15/2022 9:07,79.82,,,,,,,,,
DTS,7/15/2022 10:27,85.63,,,,,,,,,
