Task,Start Date Time,Minutes On Task,,
Management,3/15/2021 7:13,13.03,,
Tasks,3/15/2021 7:26,11.23,,
DTS,3/15/2021 7:37,5.88,,
Tasks,3/15/2021 7:43,92.52,,
Meeting,3/15/2021 9:15,8.58,,
Break,3/15/2021 9:24,0.03,,
Break,3/15/2021 9:24,11.93,,
Tasks,3/15/2021 9:36,48.32,,
Management,3/15/2021 10:24,14.03,,
ITN,3/15/2021 10:38,15.27,,
Tasks,3/15/2021 10:54,1.03,,
ITN,3/15/2021 10:55,17.13,,
Support,3/15/2021 11:12,0.52,,
Tasks,3/15/2021 11:12,0.9,,
Break,3/15/2021 11:13,6.1,,
Support,3/15/2021 11:19,9.3,,
Email,3/15/2021 11:29,3.97,,
Management,3/15/2021 11:33,17.55,,
ITN,3/15/2021 11:50,13.42,,
Tasks,3/15/2021 12:04,7.38,,
ITN,3/15/2021 12:11,28.2,,
Break,3/15/2021 12:39,50.97,-20,Forgot to change my status
DTS,3/16/2021 7:05,4.52,,
ITN,3/16/2021 7:09,8.88,,
Email,3/16/2021 7:18,10.25,,
ITN,3/16/2021 7:28,58.83,,
Tasks,3/16/2021 8:27,12.1,,
ITN,3/16/2021 8:39,17.57,,
Break,3/16/2021 8:57,5.9,,
Email,3/16/2021 9:03,4.5,,
ITN,3/16/2021 9:07,51.38,,
Tasks,3/16/2021 9:59,0.58,,
Dev,3/16/2021 9:59,27.3,,
Tasks,3/16/2021 10:27,2.57,,
Dev,3/16/2021 10:29,8.38,,
Management,3/16/2021 10:38,25.9,,
Email,3/16/2021 11:03,16.52,,
Management,3/16/2021 11:20,10.65,,
ITN,3/16/2021 11:31,8.55,,
Break,3/16/2021 11:39,6.95,,
Management,3/16/2021 11:46,28.4,,
Training,3/16/2021 12:15,11.18,,
Break,3/16/2021 12:26,12.63,,
Support,3/16/2021 12:38,40.43,,
Meeting,3/16/2021 13:19,44,,
Tasks,3/17/2021 7:02,59.42,,
Email,3/17/2021 8:02,2.93,,
Management,3/17/2021 8:05,47.68,,
Email,3/17/2021 8:53,19.22,,
Tasks,3/17/2021 9:12,23.98,,
Break,3/17/2021 9:36,8.6,,
Meeting,3/17/2021 9:44,86.42,,
Support,3/17/2021 11:11,19.98,,
Email,3/17/2021 11:31,6.3,,
Break,3/17/2021 11:37,25.57,,
Tasks,3/17/2021 12:03,49.87,,
Email,3/17/2021 12:53,9,,
Meeting,3/17/2021 13:02,28.05,,
Management,3/17/2021 13:30,33.12,,
Tasks,3/18/2021 7:03,32.62,,
Tasks,3/18/2021 8:19,4.25,,
ITN,3/18/2021 8:23,46.77,,
Management,3/18/2021 9:10,4.17,,
Support,3/18/2021 9:14,21,,
Break,3/18/2021 9:35,4.98,,
Support,3/18/2021 9:40,6.93,,
ITN,3/18/2021 9:47,2.02,,
Email,3/18/2021 9:49,0.5,,
ITN,3/18/2021 9:49,4.52,,
Tasks,3/18/2021 9:54,9.37,,
Break,3/18/2021 10:03,0,,
ITN,3/18/2021 10:03,28.15,,
